Name,Company,Phone,Email Address,LinkedIn Profile,Source,Relationship,Title,Preferred Communication,Latest Decision,Next Contact Date,Dream 100?
Adina Burch,Company,555-1234,name@email.com,linkedin.com,LinkedIn,Vendor,Partner,Email,Buy,"September 9, 2022",FALSE
Aiesha Zuniga,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,VP,Email,Buy,"September 9, 2022",TRUE
Aiyla Crane,Company,,name@email.com,linkedin.com,Email List,Prospect,Partner,Text,Don’t buy,"September 9, 2022",FALSE
Alastair Stevens,Company,,name@email.com,https://www.linkedin.com/in/alzaycalhoun/,Email List,Prospect,VP,Email,2nd meeting,"September 9, 2022",FALSE
Aleah Waters,Company,,name@email.com,linkedin.com,Email List,Vendor,Principal & Chief Brandteller,Email,Buy,"July 28, 2022",TRUE
Alicia Keys,Company,111-222-333,test@test.com,https://www.linkedin.com/feed/,LinkedIn,Client,Director,LinkedIn,Postpone,"August 22, 2022",FALSE
Alicja Smyth,Company,,name@email.com,linkedin.com,Email List,Prospect,Founder,LinkedIn,Buy,"July 29, 2022",FALSE
Aliza Rojas,Company,,name@email.com,linkedin.com,LinkedIn,Promotional Partner,Virtual CFO,Email,Buy,"July 25, 2022",
Alton Lott,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Founder,LinkedIn,Buy,"July 26, 2022",TRUE
Anabel Chen,Company,,name@email.com,linkedin.com,Email List,Prospect,Founder,LinkedIn,Buy,"September 2, 2022",FALSE
Archibald Whitworth,Company,1234567,name@email.com,linkedin.com,Email List,Client,,LinkedIn,Buy,"August 18, 2022",
Areeba Leblanc,Company,,name@email.com,linkedin.com,Email List,Prospect,VP,Email,Buy,"July 20, 2022",TRUE
Aronas Huber,Company,,name@email.com,linkedin.com,YouTube,Client,Education Consultant | Administrative & Teacher Support,Text,Buy,"August 2, 2022",
Asa Rawlings,Company,,name@email.com,linkedin.com,Email List,Prospect,Founder,LinkedIn,Referral,"July 21, 2022",TRUE
Asher Jenkins,Company,,name@email.com,linkedin.com,Email List,Prospect,Partner,Email,Buy,"July 27, 2022",TRUE
Asma Medrano,Company,,name@email.com,linkedin.com,Email List,Prospect,Partner,Text,Buy,"August 19, 2022",TRUE
Ayomide Bell,Company,,name@email.com,linkedin.com,Email List,Prospect,Founder,LinkedIn,Buy,"July 27, 2022",TRUE
Barry White,Soul Singer Records,555-1234,barry@white.com,https://www.linkedin.com/feed/,LinkedIn,Vendor,Business Strategist,Email,2nd meeting,"July 20, 2022",TRUE
Bella-Rose Goddard,Company,,name@email.com,linkedin.com,Email List,Prospect,VP,Email,2nd meeting,"September 2, 2022",TRUE
Bernadette Gay,Company,,name@email.com,linkedin.com,Email List,Prospect,Owner,Call,Buy,"July 25, 2022",TRUE
Beyonce Knowles,Brand New Bag,,name@email.com,linkedin.com,Email List,Prospect,Owner,LinkedIn,Buy,"September 2, 2022",TRUE
Bobby Brown,New Edition Incorporated,555-2233,bobby@brown.com,https://www.linkedin.com/feed/,Referral,Promotional Partner,Education Consultant | Administrative & Teacher Support,Call,Buy,"July 29, 2022",TRUE
Carlos Calderon,Company,12345678,name@email.com,linkedin.com,Email List,Prospect,Founder,LinkedIn,Buy,"August 1, 2022",
Catrin Booker,Company,,name@email.com,linkedin.com,Email List,Prospect,Managing Director,Email,Buy,"August 18, 2022",
Cayson Burn,Company,,name@email.com,linkedin.com,Email List,Client,Founder,Call,Buy,"August 17, 2022",
Chace Deleon,Company,,name@email.com,linkedin.com,Email List,Client,,Call,Buy,"August 18, 2022",
Chace Sweeney,Company,,name@email.com,linkedin.com,Email List,Prospect,VP,Email,Buy,"August 18, 2022",
Chance Camacho,Company,234567,name@email.com,linkedin.com,YouTube,Client,Director,Call,Postpone,"July 8, 2022",TRUE
Collette Rios,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Owner,LinkedIn,Postpone,"July 25, 2022",
Dani Ifrim,Company,111-222-333,test@test.com,https://www.linkedin.com/feed/,Email List,Client,Partner,LinkedIn,Buy,"July 29, 2022",
Daniela Southern,Company,12345678,name@email.com,linkedin.com,Email List,Prospect,VP,Email,Buy,"July 27, 2022",TRUE
Dave Mcmanus,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Partner,Text,Buy,"July 19, 2022",TRUE
Dolcie Willis,Company,,name@email.com,linkedin.com,Referral,Client,ECommerce systems architect,Call,Buy,"September 9, 2022",
Dorian Rees,Company,,name@email.com,linkedin.com,Email List,Client,Partner,Email,Buy,"August 2, 2022",
Drake Lang,Company,123467,name@email.com,linkedin.com,Email List,Prospect,VP,Email,Buy,"July 22, 2022",TRUE
Duke Villegas,Company,,dani@ifrim.me,linkedin.com,Email List,Prospect,VP,Email,2nd meeting,"September 2, 2022",TRUE
Elaina Mccoy,Company,,name@email.com,linkedin.com,Email List,Prospect,VP,Email,Don’t buy,"August 19, 2022",TRUE
Ella-Louise Valentine,Company,,name@email.com,linkedin.com,Email List,Prospect,Founder,LinkedIn,Buy,"July 13, 2022",TRUE
Elouise Wardle,Company,,name@email.com,linkedin.com,Email List,Prospect,Owner,Call,Buy,"July 26, 2022",TRUE
Emir Harris,Company,,name@email.com,linkedin.com,Email List,Promotional Partner,VP of Operations,Email,Buy,"July 8, 2022",TRUE
Esmai Chamberlain,Company,,name@email.com,linkedin.com,Email List,Prospect,VP,Email,Buy,"August 19, 2022",TRUE
Esme Espinosa,Company,,name@email.com,linkedin.com,Email List,Prospect,Owner,Call,Buy,"August 26, 2022",TRUE
Esme-Rose Valencia,Company,,name@email.com,linkedin.com,Email List,Prospect,Partner,Text,Buy,"July 14, 2022",TRUE
Evie-Rose Owens,Company,,name@email.com,linkedin.com,Email List,Vendor,Consultant,LinkedIn,Buy,"August 26, 2022",TRUE
Fabien Murillo,Company,12345678,name@email.com,linkedin.com,LinkedIn,Prospect,VP,Email,Referral,"September 9, 2022",FALSE
Faiza Jefferson,Company,,name@email.com,linkedin.com,LinkedIn,Prospect,Owner,Call,Buy,"July 20, 2022",TRUE
Geraldine Hartman,Company,,name@email.com,linkedin.com,LinkedIn,Client,Owner,Call,Buy,"July 14, 2022",TRUE
Gordon Howells,Company,123456,name@email.com,linkedin.com,YouTube,Client,Founder,Email,Buy,"July 14, 2022",TRUE
Gracie-Mae Shelton,Company,,name@email.com,linkedin.com,Referral,Client,Business Strategist,Email,Don’t buy,"July 19, 2022",TRUE
Gwion Lambert,Company,,name@email.com,linkedin.com,Email List,Prospect,Owner,Call,Buy,"August 1, 2022",
Haydn Hussain,Company,,name@email.com,linkedin.com,Email List,Client,Owner,Call,Buy,"July 14, 2022",TRUE
Hunter Merritt,Company,,name@email.com,linkedin.com,Email List,Prospect,Partner,Text,2nd meeting,"July 19, 2022",TRUE
Isla-Rose Wong,Company,,name@email.com,linkedin.com,Email List,Prospect,Founder,Email,Buy,"July 18, 2022",TRUE
Ivy Fulton,Company,,name@email.com,linkedin.com,Email List,Prospect,Owner,Call,Buy,"July 13, 2022",TRUE
Jameel Puckett,Company,,name@email.com,linkedin.com,Email List,Prospect,Partner,Text,2nd meeting,"September 2, 2022",TRUE
James Brown,Brand New Bag,555-8888,james@brandnewbag.com,https://www.linkedin.com/in/dani-ifrim-a4bb4219b/,YouTube,Client,Managing Director,Email,Buy,"July 28, 2022",TRUE
Jarred Parkinson,Company,,name@email.com,linkedin.com,Email List,Prospect,Founder,LinkedIn,Buy,"July 13, 2022",TRUE
John Doe,Company,111-222-333,test@test.com,https://www.linkedin.com/feed/,YouTube,Promotional Partner,Virtual CFO,Email,Buy,"August 1, 2022",
Johnny Fischer,Company,,name@email.com,linkedin.com,Email List,Prospect,VP,Email,Buy,"August 26, 2022",TRUE
Juliet Lu,Company,,name@email.com,linkedin.com,Email List,Prospect,VP,Email,Buy,"September 9, 2022",
Justin Bradshaw,Company,,name@email.com,linkedin.com,Email List,Prospect,Owner,Call,Buy,"July 8, 2022",TRUE
Kaiser Donaldson,Company,,name@email.com,linkedin.com,Email List,Prospect,Partner,Text,Don’t buy,"July 20, 2022",TRUE
Kamal Zavala,Company,,name@email.com,linkedin.com,Email List,Prospect,Partner,Email,Buy,"July 29, 2022",TRUE
